State,Start,End,Run time
sSTG_FEED_DT_01,2018/03/06 02:06:28,2018/03/06 03:49:03,1:42:35
sSTG_FEED_FX_RISK_SPEC_ALL,2018/03/06 02:06:28,2018/03/06 04:11:03,2:4:35
sSTG_FEED_FX_RISK_SPEC_MAIN,2018/03/06 02:06:28,2018/03/06 04:11:02,2:4:34
sSTG_FEED_CS_TODAY,2018/03/06 02:06:28,2018/03/06 03:44:14,1:37:46
sSTG_FEED_IRD_RISK_SPEC_ALL,2018/03/06 02:06:28,2018/03/06 03:49:58,1:43:30
sSTG_FEED_IRD_RISK_SPEC_MAIN,2018/03/06 02:06:28,2018/03/06 03:49:57,1:43:29
sSTG_FEED_CS_OTHER,2018/03/06 02:06:28,2018/03/06 03:44:10,1:37:42
sSTG_FEED_PL_ALL,2018/03/06 02:06:28,2018/03/06 03:44:27,1:37:59
sSTG_FEED_PL_MAIN,2018/03/06 02:06:28,2018/03/06 03:44:07,1:37:39
sSTG_FEED_PL_SV_ALL,2018/03/06 02:06:28,2018/03/06 04:10:29,2:4:1
sSTG_FEED_PL_OIS_YEST,2018/03/06 02:06:28,2018/03/06 02:53:14,0:46:46
sSTG_FEED_PL_SV_MAIN,2018/03/06 02:06:28,2018/03/06 04:10:19,2:3:51
sSTG_FEED_PL_OM-1,2018/03/06 02:06:28,2018/03/06 03:27:27,1:20:59
sSTG_FEED_MV_ALL,2018/03/06 02:06:28,2018/03/06 03:45:28,1:39:0
sSTG_FEED_MV_MAIN,2018/03/06 02:06:28,2018/03/06 03:45:03,1:38:35
sSTG_FEED_PL_SV_YEST,2018/03/06 02:06:28,2018/03/06 04:09:41,2:3:13
sSTG_FEED_SV_ALL,2018/03/06 02:06:28,2018/03/06 04:09:06,2:2:38
sSTG_FEED_PL_2OM,2018/03/06 02:06:28,2018/03/06 03:44:07,1:37:39
sSTG_FEED_SV_MAIN,2018/03/06 02:06:28,2018/03/06 04:08:33,2:2:5
sSTG_FEED_MV_2OM,2018/03/06 02:06:28,2018/03/06 03:40:42,1:34:14
sSTG_FEED_PL_SV_L_YEST-1,2018/03/06 02:06:28,2018/03/06 03:54:34,1:48:6
sSTG_FEED_SV_CS1_ALL,2018/03/06 02:06:28,2018/03/06 03:39:19,1:32:51
sSTG_FEED_SV_CS1_MAIN,2018/03/06 02:06:28,2018/03/06 03:39:19,1:32:51
sSTG_FEED_SV_YEST,2018/03/06 02:06:28,2018/03/06 04:06:57,2:0:29
